properties{
  x = 0,
  y = 0,
  width = 624,
  height = 720,
  min_layer = 0,
  max_layer = 2,
  tileset = "Tileset Overworld Z1",
}

tile{
  layer = 0,
  x = 112,
  y = 128,
  width = 96,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 224,
  y = 128,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 96,
  y = 128,
  width = 16,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 96,
  y = 32,
  width = 16,
  height = 96,
  pattern = "5",
}

tile{
  layer = 0,
  x = 224,
  y = 32,
  width = 16,
  height = 96,
  pattern = "7",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 112,
  height = 96,
  pattern = "6",
}

tile{
  layer = 0,
  x = 208,
  y = 128,
  width = 16,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 112,
  y = 0,
  width = 112,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 96,
  y = 0,
  width = 16,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 224,
  y = 0,
  width = 16,
  height = 16,
  pattern = "4",
}

tile{
  layer = 0,
  x = 96,
  y = 16,
  width = 16,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 224,
  y = 16,
  width = 16,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
  x = 112,
  y = 16,
  width = 112,
  height = 16,
  pattern = "6",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 16,
  height = 16,
  pattern = "7",
}

tile{
  layer = 0,
  x = 64,
  y = 80,
  width = 16,
  height = 16,
  pattern = "8",
}

tile{
  layer = 0,
  x = 64,
  y = 48,
  width = 16,
  height = 16,
  pattern = "4",
}

tile{
  layer = 0,
  x = 32,
  y = 80,
  width = 16,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 48,
  y = 80,
  width = 16,
  height = 16,
  pattern = "9",
}

tile{
  layer = 0,
  x = 16,
  y = 64,
  width = 16,
  height = 16,
  pattern = "5",
}

tile{
  layer = 0,
  x = 32,
  y = 48,
  width = 32,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 16,
  y = 48,
  width = 16,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 16,
  y = 80,
  width = 16,
  height = 16,
  pattern = "10",
}

tile{
  layer = 0,
  x = 32,
  y = 64,
  width = 32,
  height = 16,
  pattern = "6",
}

tile{
  layer = 0,
  x = 112,
  y = 48,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 16,
  height = 96,
  pattern = "37",
}

tile{
  layer = 0,
  x = 80,
  y = 0,
  width = 16,
  height = 96,
  pattern = "37",
}

tile{
  layer = 0,
  x = 16,
  y = 0,
  width = 64,
  height = 48,
  pattern = "37",
}

tile{
  layer = 0,
  x = 0,
  y = 96,
  width = 96,
  height = 48,
  pattern = "37",
}

tile{
  layer = 0,
  x = 0,
  y = 144,
  width = 160,
  height = 64,
  pattern = "37",
}

tile{
  layer = 0,
  x = 192,
  y = 48,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 152,
  y = 8,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 104,
  y = 8,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 200,
  y = 8,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 104,
  y = 96,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 200,
  y = 96,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 160,
  y = 208,
  width = 48,
  height = 16,
  pattern = "3",
}

tile{
  layer = 0,
  x = 64,
  y = 208,
  width = 16,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 64,
  y = 256,
  width = 16,
  height = 224,
  pattern = "5",
}

tile{
  layer = 0,
  x = 80,
  y = 256,
  width = 128,
  height = 224,
  pattern = "6",
}

tile{
  layer = 0,
  x = 0,
  y = 240,
  width = 64,
  height = 240,
  pattern = "37",
}

tile{
  layer = 0,
  x = 320,
  y = 480,
  width = 16,
  height = 16,
  pattern = "59",
}

tile{
  layer = 0,
  x = 560,
  y = 480,
  width = 16,
  height = 16,
  pattern = "61",
}

tile{
  layer = 0,
  x = 560,
  y = 416,
  width = 16,
  height = 16,
  pattern = "68",
}

tile{
  layer = 0,
  x = 560,
  y = 432,
  width = 16,
  height = 16,
  pattern = "67",
}

tile{
  layer = 0,
  x = 400,
  y = 480,
  width = 16,
  height = 16,
  pattern = "71",
}

tile{
  layer = 0,
  x = 320,
  y = 448,
  width = 16,
  height = 32,
  pattern = "64",
}

tile{
  layer = 0,
  x = 352,
  y = 480,
  width = 48,
  height = 16,
  pattern = "60",
}

tile{
  layer = 0,
  x = 560,
  y = 448,
  width = 16,
  height = 32,
  pattern = "62",
}

tile{
  layer = 0,
  x = 336,
  y = 448,
  width = 16,
  height = 32,
  pattern = "63",
}

tile{
  layer = 0,
  x = 336,
  y = 480,
  width = 16,
  height = 16,
  pattern = "60",
}

tile{
  layer = 0,
  x = 320,
  y = 544,
  width = 16,
  height = 16,
  pattern = "46",
}

tile{
  layer = 0,
  x = 384,
  y = 496,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 368,
  y = 512,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 416,
  y = 512,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 368,
  y = 496,
  width = 16,
  height = 16,
  pattern = "47",
}

tile{
  layer = 0,
  x = 384,
  y = 512,
  width = 16,
  height = 16,
  pattern = "47",
}

tile{
  layer = 0,
  x = 392,
  y = 520,
  width = 16,
  height = 16,
  pattern = "47",
}

tile{
  layer = 0,
  x = 352,
  y = 496,
  width = 16,
  height = 16,
  pattern = "47",
}

tile{
  layer = 0,
  x = 400,
  y = 512,
  width = 16,
  height = 16,
  pattern = "47",
}

tile{
